dataset: channel, variable: velocity, time: 0.1, time end: 0.5, delta t: 0.008, temporal method: pchip, spatial method: lag8, spatial operator: field
time	x_point	y_point	z_point	ux	uy	uz
0.1	10.33	0.9	4.6	0.8144475221633911	-0.06847087293863297	-0.05980624258518219
0.10800000000000001	10.33	0.9	4.6	0.8304104208946228	-0.0877404436469078	-0.05503872036933899
0.116	10.33	0.9	4.6	0.832489013671875	-0.0919349268078804	-0.04268801212310791
0.124	10.33	0.9	4.6	0.8213320970535278	-0.08337832987308502	-0.032677747309207916
0.132	10.33	0.9	4.6	0.7993278503417969	-0.07298555970191956	-0.04150649160146713
0.14	10.33	0.9	4.6	0.7649405598640442	-0.07454097270965576	-0.07579953968524933
0.14800000000000002	10.33	0.9	4.6	0.7231897711753845	-0.08516643196344376	-0.11730672419071198
0.156	10.33	0.9	4.6	0.691679060459137	-0.09529701620340347	-0.13984034955501556
0.164	10.33	0.9	4.6	0.6834757328033447	-0.10285189002752304	-0.12923170626163483
0.17200000000000001	10.33	0.9	4.6	0.6875689029693604	-0.11121831834316254	-0.09924484044313431
0.18	10.33	0.9	4.6	0.6919556260108948	-0.11725778132677078	-0.07196260988712311
0.188	10.33	0.9	4.6	0.6922496557235718	-0.11630639433860779	-0.06506098061800003
0.196	10.33	0.9	4.6	0.6877014636993408	-0.11479156464338303	-0.08491923660039902
0.20400000000000001	10.33	0.9	4.6	0.6819058656692505	-0.11715280264616013	-0.11993138492107391
0.21200000000000002	10.33	0.9	4.6	0.6901245713233948	-0.11169013381004333	-0.14007261395454407
0.22	10.33	0.9	4.6	0.7316595315933228	-0.08553118258714676	-0.11627236008644104
0.228	10.33	0.9	4.6	0.7960284948348999	-0.055191509425640106	-0.05484774336218834
0.23600000000000002	10.33	0.9	4.6	0.855634331703186	-0.042796541005373	0.012316408567130566
0.24400000000000002	10.33	0.9	4.6	0.8901575803756714	-0.049128323793411255	0.054957933723926544
0.252	10.33	0.9	4.6	0.9036813974380493	-0.0539221316576004	0.07000265270471573
0.26	10.33	0.9	4.6	0.9076149463653564	-0.04752499610185623	0.070006363093853
0.268	10.33	0.9	4.6	0.9078212976455688	-0.034078650176525116	0.06476616859436035
0.276	10.33	0.9	4.6	0.9060685634613037	-0.020318597555160522	0.057396300137043
0.28400000000000003	10.33	0.9	4.6	0.906196117401123	-0.009081765078008175	0.05106513574719429
0.29200000000000004	10.33	0.9	4.6	0.9084759950637817	0.0010096682235598564	0.04677031561732292
0.30000000000000004	10.33	0.9	4.6	0.9086548686027527	0.015044258907437325	0.038799311965703964
0.30800000000000005	10.33	0.9	4.6	0.9065937995910645	0.029831120744347572	0.021641205996274948
0.316	10.33	0.9	4.6	0.908145546913147	0.0361604243516922	0.00178110646083951
0.324	10.33	0.9	4.6	0.9170666337013245	0.034270621836185455	-0.009909234941005707
0.332	10.33	0.9	4.6	0.9290148615837097	0.036756228655576706	-0.01762325130403042
0.33999999999999997	10.33	0.9	4.6	0.9386215209960938	0.044838305562734604	-0.035658758133649826
0.348	10.33	0.9	4.6	0.9470661282539368	0.0460197739303112	-0.06112782657146454
0.356	10.33	0.9	4.6	0.9602206945419312	0.031611885875463486	-0.07455558329820633
0.364	10.33	0.9	4.6	0.9774852395057678	0.001980648608878255	-0.07813303172588348
0.372	10.33	0.9	4.6	0.9918100833892822	-0.040590960532426834	-0.0869954526424408
0.38	10.33	0.9	4.6	0.9965581297874451	-0.08134829998016357	-0.10236774384975433
0.388	10.33	0.9	4.6	0.9930821061134338	-0.0987168699502945	-0.10784611105918884
0.396	10.33	0.9	4.6	0.9867415428161621	-0.09520778059959412	-0.09876178205013275
0.404	10.33	0.9	4.6	0.9797078371047974	-0.08948460966348648	-0.08522655814886093
0.41200000000000003	10.33	0.9	4.6	0.9708033800125122	-0.08782050013542175	-0.07854560762643814
0.42000000000000004	10.33	0.9	4.6	0.9597269296646118	-0.08397619426250458	-0.07533703744411469
0.42800000000000005	10.33	0.9	4.6	0.9475623369216919	-0.08138716220855713	-0.06861256062984467
0.43600000000000005	10.33	0.9	4.6	0.9366670250892639	-0.08575156331062317	-0.05657876282930374
0.44400000000000006	10.33	0.9	4.6	0.9299034476280212	-0.08909997344017029	-0.044487226754426956
0.45199999999999996	10.33	0.9	4.6	0.9290246367454529	-0.08241783082485199	-0.03483174741268158
0.45999999999999996	10.33	0.9	4.6	0.9336351156234741	-0.06653456389904022	-0.0284495260566473
0.46799999999999997	10.33	0.9	4.6	0.9383131265640259	-0.04752609133720398	-0.024788685142993927
0.476	10.33	0.9	4.6	0.932279646396637	-0.02607017755508423	-0.014659206382930279
0.484	10.33	0.9	4.6	0.91329425573349	-0.001962152309715748	0.009384678676724434
0.492	10.33	0.9	4.6	0.8941316604614258	0.01979788765311241	0.038397930562496185
0.5	10.33	0.9	4.6	0.8866843581199646	0.03137769550085068	0.05646436661481857
